id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
102515,UCSB,IZC,,PreservedSpecimen,2c277553-e37d-4d79-9872-74ab47294e2b,UCSB-IZC00007828,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Enicospilus sp. RBoph002",4612,,Enicospilus,"sp. RBoph002",,,"Rachel Behm",2018,,,,,,"P. &. S. Russell",,,,2017-09-11,2017,9,11,254,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Rd",,0,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,rbehm,"2018-04-24 11:15:41",,1,urn:uuid:2c277553-e37d-4d79-9872-74ab47294e2b,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=102515
102516,UCSB,IZC,,PreservedSpecimen,929d2fb8-a737-4386-a11e-442395afb630,UCSB-IZC00007839,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Enicospilus sp. RBoph002",4612,,Enicospilus,"sp. RBoph002",,,"Rachel Behm",2018,,,,,,"P. &. S. Russell",,,,2017-09-11,2017,9,11,254,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Rd",,0,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,rbehm,"2018-04-24 11:32:57",,1,urn:uuid:929d2fb8-a737-4386-a11e-442395afb630,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=102516
102517,UCSB,IZC,,PreservedSpecimen,238a7f45-9832-4d4b-9fbb-87681beb3712,UCSB-IZC00007751,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Enicospilus sp. RBoph002",4612,,Enicospilus,"sp. RBoph002",,,"Rachel Behm",2018,,,,,,"P. &. S. Russell",,,,2017-10-11,2017,9,11,284,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Rd",,0,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,rbehm,"2018-04-24 11:16:24",,1,urn:uuid:238a7f45-9832-4d4b-9fbb-87681beb3712,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=102517
102518,UCSB,IZC,,PreservedSpecimen,53ae0fc5-db3d-45d3-838c-1a331cfd1606,UCSB-IZC00007721,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Enicospilus sp. RBoph002",4612,,Enicospilus,"sp. RBoph002",,,"Rachel Behm",2018,,,,,,"P. &. S. Russell",,,,2017-10-11,2017,9,11,284,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Rd",,0,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,rbehm,"2018-04-24 11:32:08",,1,urn:uuid:53ae0fc5-db3d-45d3-838c-1a331cfd1606,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=102518
102519,UCSB,IZC,,PreservedSpecimen,40197316-29af-4d7b-8d06-3d32b9c249c4,UCSB-IZC00007662,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Enicospilus sp. RBoph002",4612,,Enicospilus,"sp. RBoph002",,,"Rachel Behm",2018,,,,,,"P. &. S. Russell",,,,2017-10-11,2017,9,11,284,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Rd",,0,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,rbehm,"2018-04-24 11:29:43",,1,urn:uuid:40197316-29af-4d7b-8d06-3d32b9c249c4,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=102519
102520,UCSB,IZC,,PreservedSpecimen,8bd4e630-675a-489e-9d28-a58745ca3fed,UCSB-IZC00007831,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Enicospilus sp. RBoph002",4612,,Enicospilus,"sp. RBoph002",,,"Rachel Behm",2018,,,,,,"P. &. S. Russell",,,,2017-10-11,2017,9,11,284,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Rd",,0,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,rbehm,"2018-04-24 11:08:28",,1,urn:uuid:8bd4e630-675a-489e-9d28-a58745ca3fed,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=102520
102521,UCSB,IZC,,PreservedSpecimen,58577ece-5ea0-4412-b13b-bd1a86898891,UCSB-IZC00007619,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Enicospilus sp. RBoph002",4612,,Enicospilus,"sp. RBoph002",,,"Rachel Behm",2018,,,,,,"P. &. S. Russell",,,,2017-10-11,2017,9,11,284,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Rd",,0,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,rbehm,"2018-04-24 11:37:11",,1,urn:uuid:58577ece-5ea0-4412-b13b-bd1a86898891,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=102521
102522,UCSB,IZC,,PreservedSpecimen,ccd48330-def1-4921-9e19-004a51d5cd0b,UCSB-IZC00007734,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Enicospilus sp. RBoph002",4612,,Enicospilus,"sp. RBoph002",,,"Rachel Behm",2018,,,,,,"P. &. S. Russell",,,,2017-10-11,2017,9,11,284,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Rd",,0,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,rbehm,"2018-04-24 11:08:01",,1,urn:uuid:ccd48330-def1-4921-9e19-004a51d5cd0b,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=102522
102526,UCSB,IZC,,PreservedSpecimen,ec28c8d9-03e6-4dde-9b88-5530498fd7ef,UCSB-IZC00007442,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Enicospilus sp. RBoph002",4612,,Enicospilus,"sp. RBoph002",,,"Rachel Behm",2018,,,,,,"P. &. S. Russell",,,,2017-09-30,2017,9,30,273,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Rd",,0,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,rbehm,"2018-04-24 11:30:04",,1,urn:uuid:ec28c8d9-03e6-4dde-9b88-5530498fd7ef,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=102526
102527,UCSB,IZC,,PreservedSpecimen,ee7ec14b-6d03-4e0a-a4f7-257c0a5f1ad7,UCSB-IZC00007746,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Enicospilus sp. RBoph002",4612,,Enicospilus,"sp. RBoph002",,,"Rachel Behm",2018,,,,,,"P. &. S. Russell",,,,2017-09-30,2017,9,30,273,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Rd",,0,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,rbehm,"2018-04-24 11:14:02",,1,urn:uuid:ee7ec14b-6d03-4e0a-a4f7-257c0a5f1ad7,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=102527
